BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,gasteigerCharges,numAmideBonds,numSpiroAtoms,numBridgeheadAtoms,mqns_1,mqns_2,mqns_3,mqns_4,mqns_5,mqns_6,mqns_7,mqns_8,mqns_9,mqns_10,mqns_11,mqns_12,mqns_13,mqns_14,mqns_15,mqns_16,mqns_17,mqns_18,mqns_19,mqns_20,mqns_21,mqns_22,mqns_23,mqns_24,mqns_25,mqns_26,mqns_27,mqns_28,mqns_29,mqns_30,mqns_31,mqns_32,mqns_33,mqns_34,mqns_35,mqns_36,mqns_37,mqns_38,mqns_39,mqns_40,mqns_41,mqns_42,Class
1.4833953836206994,1230.8220381494812,32168332.920322083,-3.6099999999999994,20.301473521275753,7.819748048688431,3.746052669168693,22.294317972067564,15.39799805120625,18.65449437506997,10.93175505776534,9.206459945759352,5.905366450586014,4.025404518513601,18.65449437506997,10.93175505776534,9.206459945759352,5.905366450586014,4.025404518513601,4.249200000000004,123.94750000000002,429.52400000000006,429.2164751040001,32,402.30800000000016,0,7,6,0,7,3,164,4,1,1,3,1,1,1,0,0,5,0.32,66.88,186.8256680377027,14.216970398754302,4.794537184071822,4.9839785209472085,9.61407970191666,0.0,51.10304694137992,6.06636706846161,49.290201721667295,23.214470477032975,12.081025773474085,5.647177220767728,0.0,5.907179729351506,0.0,9.211688121125169,0.0,19.497967953714348,0.0,26.186202068468653,31.078935354500782,72.31464202551646,0.0,11.257379486545457,17.37221972795426,4.899909730850478,51.58417330671615,5.41499046939678,0.0,36.82312826968915,65.47441347602434,0.0,16.904556707313183,0.0,5.817862777835028,0.0,0.0,0.0,11.322170198748285,18.652964303522147,41.505860291821826,12.526325991278114,6.06636706846161,33.68077589831254,43.87022253530718,14.499811266301592,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.008068834441359,60.40859783222531,0.0,0.0,1,0,0,25,0,0,0,0,0,0,0,5,1,1,32,8,1,0,17,10,0,3,9,7,0,0,0,0,4,0,1,1,17,9,0,0,0,2,3,0,0,0,0,2,1,non-substrate
1.355764432360358,1428.17007525386,153673661.4465323,-4.33,20.289215215461386,8.221841271045813,3.6263845086061615,23.070338854006454,16.65299968098985,18.717443203913085,11.237606867177224,8.433761365952739,6.1883490058352875,4.3071325916054475,18.717443203913085,11.237606867177224,8.433761365952739,6.1883490058352875,4.3071325916054475,4.520120000000003,127.68650000000002,453.5020000000002,453.180089596,34,430.3180000000002,0,8,7,0,8,4,170,5,1,1,4,1,1,1,0,0,6,0.19230769230769232,80.02000000000001,195.58226516465373,18.63412133580765,4.794537184071822,4.9839785209472085,9.61407970191666,0.0,29.828919765543436,25.122838405075452,43.87521125227052,23.78370547782357,17.774953768322547,11.40742463964217,0.0,5.907179729351506,0.0,13.628839058178517,0.0,19.497967953714344,0.0,6.923737199690624,31.078935354500782,84.51369558646567,0.0,22.71155490026836,17.37221972795426,4.899909730850478,51.58417330671615,0.0,6.923737199690624,15.921440167465814,82.22109447717838,0.0,28.358732121036088,0.0,5.817862777835028,0.0,0.0,0.0,5.907179729351506,37.50272453422174,28.416347479996674,18.08977748297511,12.329530064100666,33.68077589831254,36.08911520438754,18.91696220335494,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.59051835164182,60.40948164835818,0.0,0.0,1,0,0,26,0,0,0,0,0,0,0,5,1,2,34,6,1,0,19,13,0,4,11,8,0,0,0,0,2,0,1,0,20,11,0,0,0,3,3,0,0,0,0,2,1,non-substrate
1.4634978506735337,1270.5294553822469,37059419.926553905,-3.8100000000000005,20.11275381078929,8.030939455907072,3.4714041011927472,22.24191172926027,15.546045193307766,18.408042127154577,10.627460826794465,7.968630532175526,6.0516003217386904,4.16775658435896,18.408042127154577,10.627460826794465,7.968630532175526,6.0516003217386904,4.16775658435896,3.5771400000000018,121.27350000000006,431.4960000000002,431.19573966,32,406.29600000000016,0,8,7,0,8,4,164,4,1,1,3,1,1,1,0,0,5,0.2916666666666667,76.11,185.57427115281294,18.95383335255435,4.794537184071822,4.9839785209472085,9.61407970191666,0.0,12.13273413692322,32.04657560476608,49.066223670354354,24.630340023462047,17.83053760675799,5.647177220767728,0.0,5.907179729351506,0.0,13.948551074925216,0.0,19.497967953714344,0.0,13.847474399381248,38.188732895778315,65.74535938029022,0.0,17.00689131982936,17.37221972795426,9.636772684650527,58.69397084799368,0.0,13.847474399381248,21.615368162314272,53.34167933910112,0.0,16.904556707313183,0.0,5.817862777835028,5.749511833283905,0.0,0.0,5.907179729351506,18.652964303522147,52.81882361680272,12.526325991278114,13.176164609739143,46.67088016646478,11.823646930541102,19.23667422010164,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.984319154019828,62.015680845980185,0.0,0.0,1,0,0,24,0,0,0,0,0,0,0,5,2,1,32,8,1,0,17,10,0,4,11,8,0,0,0,0,4,1,1,0,15,11,0,0,0,2,3,0,0,0,0,2,1,non-substrate
1.6930363109762867,1017.2399659981465,2925920.8703155424,-3.119999999999999,15.159753047052156,6.310384087791497,2.6427157898943903,17.346724214874868,12.882142733160752,14.299032489106148,8.841755447511234,6.379535517175667,4.692557441019693,3.3782876216102538,14.299032489106148,8.841755447511234,6.379535517175667,4.692557441019693,3.3782876216102538,3.065900000000002,101.20770000000002,345.40600000000006,345.15896022799996,26,326.2540000000001,1,6,6,1,6,3,130,4,1,1,3,1,1,1,0,0,5,0.2,58.599999999999994,150.6294638790806,14.633849271910154,0.0,4.9839785209472085,9.61407970191666,0.0,30.33183534230805,12.13273413692322,43.87521125227052,11.957090990487519,11.51179077268349,11.40742463964217,0.0,0.0,0.0,4.417150937053347,0.0,19.9148468268702,0.0,0.0,31.07893535450078,60.86046661179355,0.0,22.71155490026836,11.465039998602755,10.216698334856808,40.77708384651417,0.0,0.0,0.0,65.2776175488469,0.0,28.358732121036088,0.0,5.817862777835028,0.0,0.0,0.0,0.0,0.0,60.35562052252141,0.0,6.263162995639057,40.913600304385284,28.415799540241636,14.499811266301592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.523751018351938,44.476248981648055,0.0,0.0,0,0,0,20,0,0,0,0,0,0,0,5,0,1,26,3,0,0,17,10,0,3,7,6,1,1,0,0,0,0,0,0,18,8,0,0,0,2,3,0,0,0,0,2,1,non-substrate
1.3609432138285127,1465.239074711515,263379536.78134584,-4.53,21.033442034863263,8.676267667124005,3.9043501100975644,23.777445635193,17.191004483450634,19.125691494376944,11.349979302873018,8.29969182608451,6.206520330055695,4.365207116862383,19.125691494376944,11.349979302873018,8.29969182608451,6.206520330055695,4.365207116862383,4.2203000000000035,129.5015,469.5010000000002,469.175004216,35,446.3170000000003,0,9,8,0,9,5,176,5,1,1,4,1,1,1,0,0,6,0.19230769230769232,89.25,200.6958103941606,23.370984289607698,4.794537184071822,4.9839785209472085,9.61407970191666,0.0,12.13273413692322,30.33183534230805,43.87521125227052,30.893503019101104,23.52446560160645,11.40742463964217,0.0,5.907179729351506,0.0,18.365702011978563,0.0,19.497967953714344,0.0,0.0,38.188732895778315,78.95024409476866,0.0,28.461066733552265,17.37221972795426,9.636772684650527,58.69397084799368,0.0,0.0,10.357988675768818,82.22109447717838,0.0,28.358732121036088,0.0,5.817862777835028,5.749511833283905,0.0,0.0,5.907179729351506,43.14990175498947,28.51868209251285,12.526325991278114,19.4393276053782,57.94624417215898,4.899909730850478,23.653825157154987,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.563120555459527,63.93687944454047,0.0,0.0,1,0,0,26,0,0,0,0,0,0,0,5,2,2,35,7,1,0,19,13,0,5,13,9,0,0,0,0,2,1,1,0,20,11,0,0,0,3,3,0,0,0,0,2,1,non-substrate
1.969032123745428,1311.7820734786048,21050497.93331695,-3.709999999999999,21.519337282410824,8.80258740987867,3.713532150054591,22.827698166887174,15.455927458031292,17.969064520902084,10.096714615300463,7.11634878204727,5.158075059985097,3.654539992654537,18.78556110182981,10.913211196228191,8.115419548810051,6.2562682176630044,4.7671115978571095,5.270220000000005,126.58840000000001,446.5280000000002,446.130028184,32,424.35200000000026,2,6,7,1,7,6,162,4,0,0,2,0,0,2,0,0,4,0.16,91.50999999999999,189.1669453572119,15.207393384762284,4.794537184071822,9.77851570501903,0.0,11.336785877934737,30.33183534230805,43.67639416492468,16.513127197858786,30.66144526701947,15.457055446605771,0.0,5.783244946364939,0.0,5.969305287951849,19.06280027574374,0.0,4.9839785209472085,0.0,13.847474399381248,19.450346982952638,76.29528178809825,0.0,16.876414816677897,38.99334302102045,10.470530430962235,30.453208261054446,4.736862953800049,6.923737199690624,38.210789739778015,54.59730361615449,0.0,21.343523617479352,0.0,5.687386274683562,5.749511833283905,11.336785877934737,5.969305287951849,12.390126910877857,48.91494840569357,5.563451491696996,11.336785877934737,45.22274021450522,30.33183534230805,4.9839785209472085,15.207393384762284,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10878949882424,1.224543834509112,0.0,0,0,0,25,0,0,0,0,1,0,1,1,4,0,32,11,2,0,11,11,0,6,10,6,2,1,0,0,6,3,2,0,11,10,0,0,0,1,3,0,0,0,0,2,1,non-substrate
1.487482361794368,1014.9105890182815,9405991.235767728,-2.9799999999999995,20.299182743372064,9.225072899942706,4.2882279440780495,20.92407448406449,14.711371195706379,17.980995064720545,10.399878789532515,7.641152571821282,5.89258099356112,4.221579767945105,17.980995064720545,10.399878789532515,7.641152571821282,5.89258099356112,4.221579767945105,4.980200000000004,120.66100000000006,403.52200000000016,403.21474378799996,30,374.2900000000002,0,4,4,0,4,7,156,3,0,1,0,0,1,3,0,0,4,0.3076923076923077,30.930000000000003,178.55976665199276,14.210588861400147,4.899909730850478,0.0,0.0,0.0,36.39820241076966,64.92436897818344,19.634269217737724,21.3293926238326,5.749511833283905,11.49902366656781,0.0,0.0,0.0,14.210588861400147,0.0,4.899909730850478,0.0,19.386399651764595,34.41890543565775,77.35402515970709,0.0,28.375438483245706,0.0,14.210588861400147,39.31881516650823,19.386399651764595,0.0,16.690354475090988,60.6636706846161,0.0,11.126902983393991,0.0,0.0,17.248535499851716,0.0,0.0,0.0,0.0,49.724447963441456,27.817257458484978,21.3293926238326,12.13273413692322,53.430846278543356,14.210588861400147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.33333333333333,0.0,0.0,0,0,0,26,0,0,0,0,0,0,0,1,3,0,30,10,0,0,14,9,0,7,7,4,0,0,0,0,3,5,0,0,13,9,0,0,0,0,4,0,0,0,0,2,1,non-substrate
1.0247365866196594,2245.8105559936876,185511403859058.38,-5.319999999999998,39.521836071897795,15.192484798185461,5.284080682793846,42.107661992122786,30.504701273389735,34.78654155586712,22.07110854400038,18.56059910839786,15.984018503182128,14.678396440694975,34.78654155586712,22.07110854400038,18.56059910839786,15.984018503182128,14.678396440694975,7.17360000000001,237.11119999999931,827.0340000000002,826.3981874480002,62,772.6019999999999,4,8,8,4,8,16,316,6,6,6,0,4,4,6,2,2,12,0.3333333333333333,105.86000000000001,363.1803692495144,29.89983548696292,9.799819461700956,0.0,0.0,0.0,145.59280964307868,57.64617722402841,70.75265009832688,26.427527858051672,24.712787595593646,0.0,0.0,0.0,0.0,29.89983548696292,0.0,9.799819461700956,21.65996187758712,62.306452149765605,26.427527858051672,203.23898686710706,0.0,11.49902366656781,0.0,9.473725907600098,80.8208202157073,26.303276740850986,21.65996187758712,45.21652104250476,169.8582779169251,0.0,0.0,0.0,0.0,11.49902366656781,0.0,21.65996187758712,62.43070326696629,26.303276740850986,44.879732616749784,0.0,0.0,72.79640482153933,106.86169255708676,9.473725907600098,20.426109579362823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.33333333333334,0.0,0.0,0,0,8,54,0,0,0,0,0,0,0,2,6,0,62,20,0,0,34,18,0,16,14,8,4,4,0,0,4,10,0,0,28,16,4,0,2,0,10,0,0,0,0,12,16,non-substrate
2.045714444480151,780.3677480730146,63710.81846588974,-2.4799999999999995,12.548579346949742,4.892089958278337,2.2052223872050924,14.11251969619286,9.647867045540842,9.81670003650231,5.481538292418077,3.8011537167446585,2.550770004064605,1.6811251471497732,11.402696575617014,6.274536561975428,4.582731669028094,2.9769728545275176,1.9876823146934297,3.667300000000001,71.7904,336.101,334.954167772,20,330.053,0,7,6,0,8,3,100,3,0,0,2,0,0,1,0,0,3,0.0,95.2,120.04542565558218,8.940245874026695,10.114318268765572,0.0,4.9839785209472085,0.0,17.289397394048667,34.12904510333418,6.06636706846161,4.923311048817671,5.563451491696996,10.429762861884303,5.824404497999927,11.57811019670947,0.0,13.863556922844367,0.0,10.140641778072654,0.0,0.0,0.0,51.182036122545085,0.0,23.03882733059727,21.61733017263291,0.0,15.063952826890326,0.0,10.114318268765572,0.0,50.007963727806214,0.0,23.03882733059727,0.0,5.687386274683562,0.0,15.929943897949348,4.923311048817671,22.96596618640639,10.429762861884303,0.0,6.06636706846161,30.33183534230805,0.0,26.070585676022002,8.940245874026695,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.890551697530865,39.68977322885715,0.0,0.0,0,0,0,12,0,0,1,0,0,0,1,2,2,2,20,5,1,0,8,8,0,3,12,7,0,0,1,1,3,0,1,0,10,6,0,0,0,2,1,0,0,0,0,0,0,non-substrate
1.4812767610067317,1315.1019561168737,89798941.97126013,-4.01,21.815771056869867,8.73542397459119,3.827206894041024,23.819261998449893,16.477896845885905,19.738940148428814,11.15051686501322,8.338015316001242,6.333306499875818,4.3406810207455555,19.738940148428814,11.15051686501322,8.338015316001242,6.333306499875818,4.3406810207455555,3.585740000000002,127.82550000000005,461.5220000000003,461.20630434400005,34,434.3060000000002,0,9,8,0,9,5,176,4,1,1,3,1,1,1,0,0,5,0.32,85.34,197.05275849671645,23.6906963063544,4.794537184071822,4.9839785209472085,9.61407970191666,0.0,0.0,32.04657560476608,55.13259073881596,31.74013756473958,23.580049440041897,5.647177220767728,0.0,5.907179729351506,0.0,18.685414028725265,0.0,19.497967953714344,0.0,13.847474399381248,45.29853043705584,59.678992311828615,0.0,22.75640315311327,17.37221972795426,14.373635638450576,65.80376838927121,0.0,13.847474399381248,21.615368162314272,47.27531227063951,0.0,16.904556707313183,0.0,5.817862777835028,11.49902366656781,0.0,0.0,5.907179729351506,43.24150078191511,33.97979897169367,12.526325991278114,20.285962151016676,40.60451309800316,11.823646930541102,23.97353717390169,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.969637961281295,67.19702870538538,0.0,0.0,1,0,0,25,0,0,0,0,0,0,0,5,3,1,34,10,1,0,17,10,0,5,13,9,0,0,0,0,5,2,1,0,14,12,0,0,0,2,3,0,0,0,0,2,1,non-substrate
